Number,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr), 1h, 24h, 7d
285,LAToken,LA,28587610.8707,0.367264,77839404.0,690419.0,-1.15,11.29,-11.46
286,Ormeus Coin,ORME,28426194.219,1.66925,17029321.0837,5032440.0,-0.95,19.35,-0.39
287,Pascal Coin,PASC,28423030.944,1.60314,17729600.0,92711.5,-2.61,9.76,2.37
288,ColossusCoinXT,COLX,28387204.2099,0.00264689,10724738923.8,102666.0,-13.67,-9.01,-30.78
289,Zeusshield,ZSC,27970502.8563,0.0242553,1153170765.0,987614.0,-3.26,-2.46,-22.67
290,SHIELD,XSH,27878839.1893,0.0578744,481712798.565,114674.0,0.29,10.20,1.75
291,Unobtanium,UNO,27767969.1818,140.105,198193.991519,16831.5,-0.59,9.33,7.42
292,Moeda Loyalty...,MDA,27695183.2347,1.41094,19628888.0,532743.0,-0.54,12.81,-6.38
293,Matchpool,GUP,27608550.0,0.368114,75000000.0,7811920.0,-1.53,25.88,12.76
294,Phore,PHR,27206689.1288,3.23758,8403402.89005,81973.7,2.79,16.35,26.03
295,Bodhi,BOT,27109000.0,0.677725,40000000.0,211691.0,1.91,7.98,2.31
296,LEOcoin,LEO,27051087.3327,0.276641,97784085.9911,17798.2,-0.68,3.18,7.58
297,Olympus Labs,MOT,26985779.4094,0.759027,35553121.8381,1233000.0,2.42,7.34,-5.16
298,BitClave,CAT,26772054.5734,0.0533952,501394405.74,522981.0,-1.79,-6.16,-9.68
299,DomRaider,DRT,26703799.85,0.0451459,591500000.0,4179.22,-0.59,11.19,-15.16
300,Propy,PRO,26643939.2818,1.59719,16681759.3911,10080900.0,-0.83,7.95,-7.21
301,Elastic,XEL,26613469.7636,0.29772,89390937.0,299014.0,-3.55,13.88,-3.54
302,PoSW Coin,POSW,25896357.9,0.587219,44100000.0,176206.0,-1.92,10.73,-1.48
303,Neumark,NEU,25801964.6712,0.898139,28728253.2784,117066.0,-0.39,13.91,-6.82
304,Playkey,PKT,25729752.3255,1.88752,13631512.4213,50624.4,-0.02,8.66,31.08
305,NVO,NVST,25410150.0,1.69401,15000000.0,2728.2,-1.58,31.37,23.15
306,MyBit Token,MYB,25328456.8768,9.04757,2799476.19933,58882.2,-0.88,27.90,16.22
307,GridCoin,GRC,25310025.6344,0.0648455,390312753.151,99985.1,-2.10,5.99,5.18
308,Bean Cash,BITB,25277321.8734,0.0107286,2356069000.0,197205.0,-1.94,19.60,41.51
309,BlackCoin,BLK,25140448.8006,0.327955,76658226.8928,360790.0,-0.78,11.15,10.30
310,Expanse,EXP,25137280.8741,3.17936,7906396.53078,305273.0,-0.48,12.16,10.85
311,QunQun,QUN,24837766.7801,0.0710936,349367127.0,9240810.0,-1.04,10.21,-3.39
312,BlockMason Cr...,BCPT,24706317.8958,0.547009,45166200.0,752974.0,0.02,16.94,-10.71
313,AirToken,AIR,23957010.0,0.0228162,1050000000.0,514698.0,1.48,42.00,3.33
314,Game.com,GTC,23938650.0,0.0797955,300000000.0,1136620.0,0.19,15.78,-19.56
315,Aeron,ARN,23934690.0,1.84113,13000000.0,977400.0,0.75,13.24,1.23
316,Soarcoin,SOAR,23885867.1383,0.0241801,987831611.047,31918.0,-0.99,13.50,3.25
317,Boolberry,BBR,23726816.427,2.14537,11059545.1726,20041.9,-1.07,25.06,-7.33
318,CanYaCoin,CAN,23563734.6393,0.639452,36849888.0906,331825.0,0.44,1.53,-18.72
319,Xenon,XNN,23360460.0,0.0778682,300000000.0,1099.4,-1.03,48.79,42.78
320,EncrypGen,DNA,23073993.5664,0.369258,62487457.459,126549.0,-3.54,6.80,-17.28
321,NuShares,NSR,22934343.9062,0.00825689,2777600756.0,8723.44,29.40,44.18,5.19
322,Peerplays,PPY,22768860.2646,5.75713,3954897.71199,661.826,-1.00,-3.44,-1.61
323,Swarm City,SWT,22519573.004,2.79781,8049000.11223,4252760.0,0.08,25.15,17.34
324,Covesting,COV,22453900.0,1.28308,17500000.0,54747.7,-2.74,10.05,-15.14
325,Mothership,MSP,22367940.0,0.159771,140000000.0,223916.0,-0.87,-0.94,-14.54
326,HelloGold,HGT,22295264.4363,0.0847617,263034654.051,47573.3,0.26,12.14,-9.11
327,BitConnect,BCC,22256684.3162,2.41476,9216934.31901,180651.0,1.10,8.65,-62.23
328,Universal Cur...,UNIT,21659246.9862,1.67226,12952081.0078,62732.7,-0.65,12.11,28.22
329,Numeraire,NMR,21607241.0644,16.686,1294932.34235,253146.0,-0.44,10.20,-5.24
330,Radium,RADS,21522381.4272,6.24139,3448331.44975,251097.0,-2.19,13.39,-1.86
331,NewYorkCoin,NYC,21391705.7087,0.000161831,1.32185463284e+11,32017.0,1.03,51.13,45.78
332,Open Trading ...,OTN,21180596.5653,5.89598,3592379.31019,63460.6,-2.38,12.14,-28.56
333,GET Protocol,GET,21113964.0391,2.03324,10384393.4012,10210.0,-0.58,41.69,62.10
334,Omni,OMNI,21108463.8128,37.655,560575.323669,82552.9,-0.53,15.90,-0.22
335,OKCash,OK,20897687.6619,0.283431,73731129.1351,548538.0,-0.77,15.07,-4.24
336,Snovio,SNOV,20890054.5534,0.0515802,405001426.0,734495.0,-1.28,23.29,-6.95
337,Stox,STX,20822228.3114,0.494156,42136953.3334,781308.0,0.06,11.52,-11.98
338,SolarCoin,SLR,20659384.8593,0.530079,38974162.0763,198085.0,-1.14,6.24,-10.33
339,Zoin,ZOI,20632205.0,1.24,16638875.0,359155.0,0.51,32.99,5.86
340,Hacken,HKN,20582053.8874,5.53852,3716164.94793,182916.0,-0.90,37.23,49.45
341,Myriad,XMY,20042392.5783,0.0129204,1551220750.0,201681.0,0.45,22.20,3.14
342,Rubycoin,RBY,19973535.4273,0.789811,25289006.3918,22555.3,-1.46,19.25,7.82
343,MonetaryUnit,MUE,19840519.9231,0.159622,124296900.948,124858.0,-2.91,12.52,-8.38
344,CoinMeet,MEE,19837996.1968,0.102825,192929698.0,5171210.0,-2.60,37.35,-5.11
345,Profile Utili...,PUT,19788962.742,0.945784,20923342.6892,3653880.0,-1.07,14.37,-28.38
346,Uquid Coin,UQC,19444700.0,1.94447,10000000.0,192213.0,-1.12,14.50,25.73
347,eBitcoin,EBTC,19224235.2511,1.01731,18897126.0,310296.0,1.69,8.53,4.78
348,Bounty0x,BNTY,19222006.5492,0.156437,122873786.567,383232.0,-3.24,15.48,-2.19
349,BitDice,CSNO,19219970.0,0.274571,70000000.0,54512.2,-1.00,25.70,5.33
350,Energycoin,ENRG,19120489.9793,0.157214,121620784.277,32836.4,0.42,11.69,13.08
351,Waves Communi...,WCT,18877192.4449,1.89272,,138187.0,-8.83,21.53,-2.54
352,OAX,OAX,18849821.5379,0.753714,25009249.58,404322.0,-1.37,12.71,-6.52
353,LoMoCoin,LMC,18791240.0108,0.0832465,225730090.884,115166.0,0.53,20.07,8.25
354,KickCoin,KICK,18552065.453,0.0577698,321137782.25,314902.0,-1.59,10.98,5.13
355,OracleChain,OCT,18400800.0,0.61336,30000000.0,67697.0,1.05,15.12,-5.72
356,Golos,GOLOS,18385836.9168,0.147655,124518891.448,96061.3,-1.81,9.00,-23.38
357,Etheroll,DICE,18343901.2587,2.61995,7001622.64879,87018.6,1.16,11.53,6.12
358,Aurora DAO,AURA,18286400.0,0.182864,100000000.0,26743.6,-0.56,16.14,19.95
359,BitSend,BSD,18143916.2245,1.00078,18129775.0,381685.0,-1.32,12.09,8.37
360,Oxycoin,OXY,17913992.5676,0.187464,95559641.1449,8178.37,-0.82,7.46,9.13
361,Viuly,VIU,17911118.2521,0.0289701,618262216.98,1805970.0,-3.29,21.08,-16.47
362,Clams,CLAM,17728003.5126,6.1942,2862032.79077,155568.0,-1.54,13.41,8.06
363,GoByte,GBX,17698855.8117,24.5956,719594.391343,317319.0,-2.33,4.50,15.43
364,Nexium,NXC,17593813.5616,0.264485,66521026.0,58344.2,-1.52,16.92,0.88
365,Polybius,PLBT,17591746.823,4.60402,3820953.60641,51896.6,2.16,11.91,4.09
366,Gambit,GAM,17517837.0403,14.5948,1200279.34883,20435.2,-6.50,9.46,3.77
367,Primas,PST,17496934.4,0.341737,51200000.0,312168.0,-3.67,7.46,-14.89
368,LUXCoin,LUX,17410363.0182,17.1145,1017287.27209,429183.0,-1.14,19.24,-5.97
369,Blackmoon,BMC,17403806.4217,0.830918,20945275.4925,533689.0,0.23,5.05,-2.02
370,Unity Ingot,UNY,17275019.8,0.0855199,202000000.0,5976220.0,8.01,668.90,3228.73
371,ALIS,ALIS,17217950.3442,0.446771,38538648.0864,33588.8,-1.62,7.77,8.15
372,LockChain,LOC,17057517.882,1.83553,9292966.0,131339.0,-8.49,21.21,28.74
373,NeosCoin,NEOS,17055424.942,4.62654,3686431.9647,111106.0,-3.33,7.41,-4.32
374,Circuits of V...,COVAL,16917100.0,0.0169171,1000000000.0,326583.0,1.67,20.47,49.46
375,Xaurum,XAUR,16913868.9928,0.133039,127134667.224,100667.0,-1.18,9.73,-6.32
376,ATBCoin,ATB,16879278.1064,0.412572,40912321.0165,2733980.0,-0.47,11.65,17.68
377,DecentBet,DBET,16765397.9024,0.160366,104544591.138,18618.4,-1.03,1.47,-16.78
378,ProChain,PRA,16728978.1812,0.360164,46448224.09,765791.0,-0.03,8.38,-14.52
379,bitUSD,BITUSD,16709556.748,1.13332,14743900.0,2464410.0,-0.30,-0.24,12.41
380,Voise,VOISE,16458200.059,0.0329898,498887536.723,1010130.0,-1.24,26.99,-14.03
381,Primecoin,XPM,16430320.359,0.732395,22433687.2303,123658.0,-2.27,24.15,-1.80
382,Paragon,PRG,16419093.7987,0.252848,64936617.2512,108349.0,-0.35,12.25,-20.02
383,BLUE,BLUE,16408619.6583,0.447769,36645278.3876,41364.8,-2.04,3.75,-10.04
384,Hedge,HDG,16290663.8967,4.3914,3709674.34,36007.0,-0.83,10.07,-8.70
385,Rivetz,RVT,16271727.7384,0.620006,26244468.18,7458.05,-0.99,4.63,-17.27
386,Ecobit,ECOB,16201244.4428,0.0364528,,3677.75,-1.10,9.75,-6.74
387,Auroracoin,AUR,16006561.5648,1.84873,8658139.13597,129375.0,-0.98,16.98,10.69
388,Databits,DTB,15860522.7639,0.697233,22747808.5,35578.8,1.31,8.75,2.88
389,FlorinCoin,FLO,15803600.2225,0.111389,141877566.209,382667.0,-1.30,27.63,4.34
390,Chronobank,TIME,15604871.0399,21.9752,710112.8108,247927.0,-0.75,8.88,3.30
391,FoldingCoin,FLDC,15570904.3775,0.0271028,574512758.0,114683.0,-2.16,11.53,7.78
392,Mintcoin,MINT,15467276.7537,0.000619999,24947260808.0,44945.8,-0.99,30.11,7.75
393,Quantum,QAU,15408811.5041,0.202505,76091017.5262,10256.8,-1.27,19.33,16.90
394,ClearPoll,POLL,15289030.3426,2.18415,6999991.0,364964.0,5.15,19.50,8.50
395,Aventus,AVT,15096420.0,2.51607,6000000.0,369237.0,-1.00,5.90,3.54
396,OneRoot Network,RNT,15041488.2752,0.0810855,185501578.891,254234.0,0.40,8.81,-6.67
397,Neutron,NTRN,14995306.3399,0.442856,33860456.5364,38519.7,6.99,35.29,6.12
398,AICHAIN,AIT,14896137.4989,0.0769684,193535756.218,124727.0,4.03,16.43,-2.10
399,Blockport,BPT,14791496.9799,0.298238,49596285.4494,96242.0,-5.68,6.79,-11.34
400,Patientory,PTOY,14768040.0,0.210972,70000000.0,1635710.0,-1.13,15.98,-3.00
401,DubaiCoin,DBIX,14747957.3836,7.27552,2027065.747,85335.7,-1.74,8.76,-10.44
402,ICOS,ICOS,14727867.6832,25.3209,581648.665065,236843.0,-1.20,7.17,-6.48
403,PRIZM,PZM,14639573.1798,1.00715,14535643.33,13421.3,-0.71,7.52,19.60
404,Pandacoin,PND,14451579.9644,0.00044446,32514916897.8,20610.7,0.58,5.40,4.46
405,E-Dinar Coin,EDR,14445787.1264,0.0163006,886211987.679,27210.8,-0.09,14.64,39.35
406,Obsidian,ODN,14422300.0,0.576892,25000000.0,64555.4,-0.13,22.28,4.39
407,Exchange Union,XUC,14221440.0,7.11072,2000000.0,418403.0,-0.19,7.43,-4.68
408,Divi,DIVX,14198761.2339,2.76079,5143006.61546,65784.0,-1.07,10.61,8.04
409,Pirl,PIRL,14181647.4904,1.45031,9778356.0,85620.5,-2.02,7.10,-1.14
410,Gatcoin,GAT,14064695.2796,0.0265441,529861448.67,92401.5,-1.63,-3.48,-29.55
411,InvestFeed,IFT,13947081.347,0.0728759,191381257.0,24941.8,0.74,3.63,-16.43
412,Dai,DAI,13840156.6208,0.997717,13871825.9996,1223190.0,-0.29,-0.72,-1.15
413,LIFE,LIFE,13629376.2073,0.000983816,13853582587.9,59952.2,-15.61,-10.83,-24.94
414,Syndicate,SYNX,13582688.0538,0.746156,18203550.0,1818250.0,0.95,13.39,-1.27
415,Pluton,PLU,13504452.0562,15.8876,849999.5,30988.8,-0.85,17.43,-19.55
416,Elixir,ELIX,13386299.8927,0.430409,31101347.5384,112257.0,-0.85,11.33,3.60
417,Mysterium,MYST,13280048.9165,0.683516,19429024.2167,174257.0,-0.60,9.36,15.22
418,Linda,LINDA,13215890.032,0.00220139,6003429665.78,144629.0,-0.53,15.37,-0.28
419,Incent,INCNT,13167282.5295,0.286142,46016602.0,52388.1,-0.65,11.80,3.07
420,bitqy,BQ,13157101.2793,0.00451624,2913286556.81,1230.38,-0.99,2.13,-2.10
421,Russian Miner...,RMC,13137212.22,8717.46,1507.0,23968.0,-1.00,1.75,1.93
422,Musicoin,MUSIC,12971134.3701,0.0214518,604664148.0,92093.5,-1.36,11.85,-0.81
423,SportyCo,SPF,12965680.6679,0.254568,50932091.4959,902985.0,2.03,19.31,-14.08
424,Hackspace Cap...,HAC,12925292.0557,0.0398549,324308731.314,386410.0,-0.99,13.87,2.63
425,Polis,POLIS,12885780.917,15.9439,808195.041178,162058.0,-1.34,15.72,14.33
426,Solaris,XLR,12794881.3972,12.8277,997441.583231,88983.4,-8.73,11.16,-11.40
427,Global Curren...,GCR,12741663.6864,0.122868,103702051.685,81418.5,-5.78,12.24,-0.51
428,Bitcrystals,BCY,12453615.4401,0.537152,23184527.7316,174679.0,-0.54,13.89,7.67
429,Flixxo,FLIXX,12404997.3161,0.166515,74497776.8734,34958.9,-1.77,10.88,0.60
430,Change,CAG,12209857.8504,0.329019,37109886.8163,1457480.0,3.25,9.83,-0.72
431,OBITS,OBITS,12193333.9957,0.777904,15674599.9451,26531.2,-3.15,6.44,-6.92
432,Internet of P...,IOP,12191046.6141,3.69945,3295367.31518,530518.0,6.53,21.36,9.47
433,Stealthcoin,XST,12107139.0814,0.431249,28074590.5066,34660.3,-0.57,16.75,15.02
434,BlockCAT,CAT,12060588.8587,1.63864,7360121.11185,38347.6,0.21,4.86,-6.33
435,CVCoin,CVCOIN,11999901.4457,1.21987,9837033.0,16092.0,-0.25,7.53,1.06
436,Dynamic,DYN,11967965.0096,2.5129,4762610.93142,255462.0,-3.80,14.95,-10.69
437,Leverj,LEV,11942139.0631,0.101127,118090510.577,38309.4,-5.43,5.41,-18.31
438,EarthCoin,EAC,11889472.8923,0.00101345,11731681772.4,25294.3,7.08,23.72,0.43
439,NuBits,USNBT,11864557.4191,0.988229,12005878.6163,21191400.0,-0.80,0.02,-2.39
440,Block Array,ARY,11554187.9948,0.168845,68430738.22,292502.0,-0.55,-1.25,-5.43
441,Sequence,SEQ,11494185.6142,0.253314,45375248.167,49460.6,-1.00,10.25,9.56
442,MyWish,WISH,11481254.4435,0.609892,18825061.5577,104522.0,23.37,84.12,24.47
443,Autonio,NIO,11370296.2741,0.172727,65828135.0,4030.6,-1.00,2.76,-13.98
444,Espers,ESP,11302458.5827,0.000535703,21098367160.0,21510.0,-13.24,0.86,-8.65
445,Publica,PBL,11252597.4485,0.605534,18582932.5,53298.6,0.07,13.88,10.92
446,PinkCoin,PINK,11160383.0979,0.0292228,381906699.491,69147.7,-1.28,14.81,-4.98
447,RussiaCoin,RC,11130590.6557,1.32857,8377872.94287,1296.78,-1.03,4.92,-10.72
448,DopeCoin,DOPE,11088471.9229,0.0948988,116845228.0,57386.1,-2.19,10.59,12.14
449,ArtByte,ABY,10933764.6473,0.0137959,,98170.8,7.68,20.51,7.64
450,Sphere,SPHR,10915735.806,3.54069,3082940.27603,629933.0,-6.15,14.15,-0.99
451,BitcoinZ,BTCZ,10897913.0816,0.00993157,1097300132.97,160549.0,-3.51,14.89,62.73
452,Bulwark,BWK,10895573.7387,5.03318,2164749.47026,118608.0,-0.91,13.07,28.56
453,DCORP,DRP,10687401.8014,1.32041,8094002.47,47745.5,-1.42,0.20,39.89
454,Elite,1337,10586606.6685,0.000420436,25180067045.8,18313.9,-0.44,11.89,33.20
455,Payfair,PFR,10513826.5889,0.138212,76070287.594,2172.7,-0.57,21.44,8.78
456,Hawala.Today,HAT,10487071.3738,7.23168,1450157.0,51240.4,0.09,2.22,-31.41
457,Curecoin,CURE,10482631.7214,0.439602,23845732.5522,69011.0,0.41,5.76,-1.38
458,Dovu,DOVU,10417692.9543,0.163304,63793250.3447,23696.9,-1.21,-10.08,-33.71
459,Monoeci,XMCC,10331016.9574,3.38166,3055013.50149,48085.1,0.26,10.99,-9.79
460,Ethorse,HORSE,10302863.0978,0.102683,100336600.0,22592.9,-0.56,14.95,-8.67
461,Spectre.ai Ut...,SXUT,10286835.3997,0.434473,23676581.5131,4650100.0,4.04,15.64,-22.77
462,Aigang,AIX,10281840.2576,0.575772,17857485.7019,192094.0,7.70,5.75,-25.39
463,ALQO,ALQO,10251304.0965,0.944905,10849031.4863,183179.0,-6.45,5.84,-3.05
464,Sprouts,SPRTS,10207912.2092,3.77497e-06,2.70410419399e+12,19672.6,3.14,20.04,9.78
465,Lampix,PIX,10176797.5631,0.0752043,135322017.0,18766.4,-0.83,10.19,-12.39
466,Iungo,ING,10143600.0,0.25359,40000000.0,233002.0,1.21,-12.08,
467,Astro,ASTRO,9995846.40415,3.0164,3313833.18,1582.72,-0.56,11.30,-10.75
468,Vcash,XVC,9788013.82925,0.63603,15389232.9438,26997.3,-1.42,15.36,1.06
469,ToaCoin,TOA,9711658.76446,0.00729566,1331155613.67,34309.9,-0.08,17.42,3.89
470,Everus,EVR,9597525.33272,0.370031,25937084.5489,6776.74,-0.15,48.51,65.23
471,Hush,HUSH,9534420.73013,2.99193,3186712.5,101879.0,2.52,1.93,-6.06
472,Rialto,XRL,9288793.02561,0.128024,72555091.4329,15130.5,-0.86,-25.65,-41.43
473,HEAT,HEAT,9277165.52143,0.288243,,31297.8,-2.13,-12.27,-34.99
474,B2B,B2B,9026964.04809,0.545007,16563024.0494,166350.0,1.06,4.39,-15.66
475,Novacoin,NVC,8979264.8871,4.53312,1980813.41043,24276.0,-0.21,11.45,4.63
476,TIES Network,TIE,8931794.49034,0.225768,39561826.6997,109160.0,-3.77,13.99,-4.18
477,Memetic / Pep...,MEME,8899700.34185,0.463163,19215050.2995,419299.0,-1.06,13.27,-2.60
478,Pareto Network,PARETO,8794000.0,0.04397,200000000.0,41590.5,-0.20,0.22,-18.79
479,VeriumReserve,VRM,8791640.92374,5.90181,1489651.63632,93094.1,0.55,18.90,12.22
480,HyperStake,HYP,8693890.93381,0.00767322,1133017290.5,11815.9,1.50,12.39,-1.50
481,Bitmark,BTM,8635408.4637,1.06362,8118885.0,49208.7,-1.04,13.24,-14.50
482,Sumokoin,SUMO,8570971.82165,3.03176,2827061.45,101954.0,-4.02,5.55,-5.83
483,Eroscoin,ERO,8474274.6504,0.0453791,186744000.0,165229.0,-8.69,9.94,-12.17
484,Atmos,ATMS,8198847.12021,0.0816627,100398922.889,20259.0,-0.99,21.37,5.29
485,GCN Coin,GCN,8164612.55105,5.39586e-05,1.51312535e+11,5102.87,8.92,31.96,3.00
486,Qwark,QWARK,8135816.22119,0.161238,50458429.2859,62743.5,-0.22,11.17,3.00
487,AdShares,ADST,8099379.82423,0.417944,19379103.0,44288.0,-1.59,13.98,0.48
488,Verify,CRED,8015729.05548,0.657969,12182533.0,27805.4,-11.28,5.25,-25.37
489,CHIPS,CHIPS,7922121.36052,0.381739,20752716.8053,1930.25,0.99,9.92,30.08
490,Dotcoin,DOT,7816035.98365,0.0277582,281575750.0,75879.6,-0.87,1.37,8.28
491,Bitdeal,BDL,7752006.90257,0.0441499,175583793.0,76559.7,-0.80,5.79,-24.54
492,onG.social,ONG,7700778.74669,0.563675,13661735.48,42236.8,-0.53,9.72,-16.24
493,EncryptoTel [...,ETT,7652512.22946,0.123167,62131189.6,863.626,-1.53,56.02,38.85
494,EuropeCoin,ERC,7652337.39099,0.765256,9999709.10518,14636.0,-0.99,11.41,21.19
495,vTorrent,VTR,7629387.60391,0.705382,10815965.8227,29802.4,-0.86,9.56,52.68
496,Innova,INN,7628399.70148,4.26028,1790586.46415,69871.0,-3.99,4.05,-11.56
497,Synergy,SNRG,7543645.29158,2.21286,3409002.50878,14489.7,2.37,22.33,15.68
498,BitBoost,BBT,7529072.88733,0.581397,12949968.5883,588.013,-2.87,4.86,37.23
499,FedoraCoin,TIPS,7491492.22354,1.69044e-05,4.43168182458e+11,4968.61,-1.90,2.20,-18.48
500,Riecoin,RIC,7469161.24689,0.180331,41419174.9998,86740.1,-0.86,14.52,-18.35
501,Opus,OPT,7444272.59395,0.0531428,140080548.898,18285.9,-0.99,72.01,29.39
502,Pesetacoin,PTC,7429474.96035,0.0560035,132660904.414,63387.2,-3.58,14.85,-6.74
503,FLiK,FLIK,7423651.40834,0.123473,60123682.1681,78390.3,-0.99,11.09,12.63
504,Sharechain,SSS,7399647.07587,0.00345129,2144023561.01,3625.93,-4.62,2.08,-6.06
505,DigiPulse,DGPT,7379997.67348,5.2615,1402641.39,17965.5,-1.02,6.83,-2.64
506,Cryptopay,CPAY,7361189.62082,0.115333,63825528.0,8199.82,-0.56,-14.87,-22.22
507,UFO Coin,UFO,7268797.67118,0.00204334,3557311887.0,11623.5,3.47,-9.76,-20.37
508,Devery,EVE,7248282.384,0.11976,60523400.0,11875.3,0.22,11.61,-14.63
509,Coinlancer,CL,7236419.50316,0.102402,70666779.0,136086.0,1.60,-11.82,-23.74
510,Bitcoin Plus,XBC,7181964.24906,68.3563,105066.603211,14130.5,-1.76,13.85,3.17
511,Breakout Stake,BRX,7166549.43872,1.14334,6268082.49403,25591.6,-1.00,14.70,22.51
512,Bismuth,BIS,7102117.1263,0.938856,7564650.0915,2220.0,-1.03,,
513,Bitcloud,BTDX,7086170.91128,0.381125,18592773.7915,12694.8,-0.56,10.09,-1.24
514,Kore,KORE,7051445.17632,3.48656,2022464.88697,92814.1,0.96,12.20,3.01
515,Bitzeny,ZNY,6964337.4164,0.0921032,75614500.0,35212.1,4.58,25.69,42.18
516,PlusCoin,PLC,6942654.8308,0.00134227,5172323624.01,1916.51,-1.50,168.63,106.55
517,Wild Crypto,WILD,6940512.35055,0.284757,24373456.4929,17794.1,-9.68,4.87,-54.74
518,CrowdCoin,CRC,6916356.36,6.60588,1047000.0,150899.0,-0.67,11.25,-38.08
519,TransferCoin,TX,6911043.4584,1.09251,6325840.0,356837.0,-2.41,12.02,-18.57
520,Social,SCL,6899162.89497,0.412777,16714019.6643,22873.7,-2.62,-10.30,0.62
521,ATLANT,ATL,6892910.16395,0.521202,13225026.3122,50737.3,-0.12,7.45,-4.80
522,CannabisCoin,CANN,6809519.08542,0.0881706,77231175.5326,90968.4,-1.68,8.42,6.78
523,GoldCoin,GLD,6716390.97293,0.164528,40822176.0,39235.1,-1.65,8.38,-4.48
524,TrezarCoin,TZC,6654240.23216,0.0733916,90667600.0,8525.22,-1.03,9.24,-13.20
525,Magnet,MAG,6613282.96866,0.459853,14381297.8684,54526.2,3.01,16.88,-23.12
526,Blitzcash,BLITZ,6600002.77269,1.59995,4125130.64327,9467.22,-1.65,11.73,-9.27
527,Internxt,INXT,6597993.20587,10.4795,629609.543,12480.6,-7.38,-5.57,3.52
528,Creditbit,CRB,6572697.75481,0.396908,16559751.2643,113004.0,-0.04,7.37,-3.71
529,DAO.Casino,BET,6529516.84804,0.0390356,167270820.688,19781.7,-0.56,-14.94,-35.96
530,Breakout,BRK,6465294.09137,0.35637,18142082.9233,46065.0,-1.95,12.49,-13.82
531,Social Send,SEND,6399140.2683,0.200171,31968368.3865,29702.6,-5.10,10.14,-1.18
532,AudioCoin,ADC,6367157.41304,0.00747248,852080890.553,9037.83,-2.96,23.70,-2.85
533,HollyWoodCoin,HWC,6279221.70552,6.59856,951604.850985,196277.0,-0.99,12.14,-5.66
534,BuzzCoin,BUZZ,6276488.1616,0.000354882,17686127111.5,55970.9,-20.53,-2.62,-18.05
535,Bela,BELA,6257582.2892,0.156673,39940400.0,46086.3,-1.37,16.81,-16.48
536,2GIVE,2GIVE,6207302.09084,0.0119517,519365620.861,26457.6,-0.47,6.73,16.85
537,Interstellar ...,HOLD,6107922.16739,0.0472969,129140010.601,40030.6,0.32,17.01,8.69
538,TrueFlip,TFL,6102068.02039,0.976758,6247267.0,90131.3,-0.97,5.34,-17.84
539,XGOX,XGOX,5933676.612,0.00433342,1369282601.73,11283.5,-1.31,9.10,5.59
540,Masternodecoin,MTNC,5923447.05927,0.123468,47975564.9988,3543.91,-0.99,9.80,-18.29
541,ExclusiveCoin,EXCL,5889191.81884,1.32308,4451123.0,213451.0,-1.08,11.78,3.36
542,SpreadCoin,SPR,5857806.63347,0.61303,9555497.5017,464119.0,-2.79,30.17,21.38
543,ZrCoin,ZRC,5812103.29798,1.52663,,100582.0,-0.62,10.36,17.04
544,Upfiring,UFR,5708131.80208,0.359002,15900000.0058,19730.0,-6.39,8.40,-12.57
545,Vsync,VSX,5682617.13085,0.0350427,162162651.019,14884.8,-0.78,8.41,5.70
546,Karbo,KRB,5648690.80376,1.06479,5304981.07961,76407.6,-1.54,15.06,-2.58
547,BunnyCoin,BUN,5554843.29262,5.41321e-05,1.02616438169e+11,1936.45,-1.55,17.84,27.62
548,Rupee,RUP,5480652.3491,0.239158,22916450.0,26121.5,-0.74,6.47,-2.40
549,FlypMe,FYP,5467973.47132,0.309999,17638681.0,10639.8,-5.49,6.84,-22.35
550,Tokes,TKS,5421662.8067,3.5539,1525553.0,9453.49,-3.11,10.38,5.03
551,Creativecoin,CREA,5421389.94262,0.404769,13393787.426,7552.0,-1.30,10.45,7.19
552,MicroMoney,AMM,5396389.55166,0.515518,10467897.4384,3300740.0,-1.08,12.47,-4.37
553,Denarius,DNR,5394285.11886,2.35112,2294347.00009,41808.4,0.55,35.60,28.64
554,ChainCoin,CHC,5347617.81679,0.364294,14679401.2989,18514.6,-0.99,12.91,1.73
555,MCAP,MCAP,5256497.04,0.501096,10490000.0,337027.0,-1.44,12.94,9.92
556,DNotes,NOTE,5176944.15502,0.0393232,131651141.184,3172.54,-8.51,8.60,3.76
557,MagicCoin,MAGE,5173782.38769,0.70857,7301723.7361,7746.16,-9.34,-10.03,-38.83
558,PutinCoin,PUT,5132967.3545,0.0145597,352546230.657,11273.6,-2.58,6.86,1.05
559,Pylon Network,PYLNT,5123441.05673,15.0571,340267.452346,8418.99,-0.99,5.23,6.90
560,Bonpay,BON,5086449.98205,0.450515,11290301.06,93110.4,-0.82,2.18,-22.85
561,Farad,FRD,5046405.93887,0.0372169,135594472.911,1408.82,-1.77,0.18,-20.43
562,Adelphoi,ADL,5042021.49299,0.214808,23472224.0,1834.54,-0.85,68.14,1.63
563,Qvolta,QVT,5034286.62838,0.747728,6732778.0,31930.9,-0.39,2.93,-18.91
564,STRAKS,STAK,5018768.72793,3.26362,1537792.00027,39381.8,1.50,20.68,-14.23
565,APX,APX,4983014.69739,7.08641,,3063.95,-0.99,10.50,-7.17
566,Tracto,TRCT,4972509.20001,0.406534,12231471.9064,13149.3,0.09,11.11,7.90
